P1,P2,P3,P4,P5,P6,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
275.6426,50,129.945,50,50,50,605.5876,3.243023,602.345,7247.86
278.494,50,132.129,50,50,50,610.623,3.302681,607.321,7302.6
279.458,50,132.868,50,50,50,612.326,3.323017,609.003,7321.15
282.4683,51.3005,135.3565,50,50,50,619.1253,3.402319,615.723,7395.48
283.722,52.2294,136.3207,50,50,50,622.2721,3.438647,618.834,7429.98
284.886,53.0914,137.215,50,50,50,625.1924,3.472593,621.721,7462.06
286.1701,54.042,138.2021,50,50,50,628.4142,3.510279,624.904,7497.48
287.678,55.1587,139.3612,50,50,50,632.1979,3.554897,628.643,7539.16
288.9037,56.0665,140.3033,50,50,50,635.2735,3.591438,631.682,7573.1
290.5328,57.2731,141.5554,50,50,50,639.3613,3.640388,635.721,7618.3
292.2989,58.5811,142.9128,50,50,50,643.7928,3.693943,640.099,7667.4
294.9017,60.5089,144.9131,50,50,50,650.3237,142.9128,646.55,7739.96
296.9981,62.0616,146.5242,50,50,50,655.5839,3.83892,651.745,7798.58
299.9069,64.2161,148.7594,50,50,50,662.8824,3.930469,658.952,7880.16
301.5184,65.4097,149.9976,50,50,50,666.9257,3.981781,662.944,7925.49
302.753,66.3843,151.26,50,50.8674,50,671.2647,4.031449,667.234,7974.29
304.1744,67.4379,152.359,50,50,50,673.9713,4.084002,671.888,8027.32
305.6596,68.5396,153.508,50,53.1853,50,680.8925,4.139538,676.753,8082.86
306.3472,69.0496,154.04,50,53.7336,50,683.1704,4.165453,679.005,8108.61
307.4246,69.8488,154.8735,50,54.5925,50,686.7394,4.206315,682.533,8148.99
308.4138,70.5826,155.6387,50,55.3809,50,690.016,4.244114,685.772,8186.11
309.7778,71.5943,156.6939,50,56.4677,50,694.5337,4.296665,690.237,8237.36
310.5464,72.1645,157.2885,50,57.0801,50,697.0795,4.326505,692.753,8266.28
312.2326,73.4152,158.5929,50,58.4229,50,702.6636,4.392523,698.271,8329.81
