P1,P2,P3,P4,P5,P6,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
475.2558,194.4604,284.5836,150,185.8907,120,1410.1905,14.0795,1396.111,17258.36
476.6459,195.4936,285.6569,150,186.958,120,1414.7544,14.1924,1400.562,17320.53
477.8092,196.3581,286.555,150,187.8509,120,1418.5732,14.2872,1404.286,17372.62
479.2788,197.4504,287.6896,150,188.9786,120,1423.3974,14.4074,1408.99,17438.51
480.4046,198.2872,288.5588,150,189.8423,120,1427.0929,14.4999,1412.593,17489.05
481.5594,199.1455,289.4503,150,190.7279,120,1430.8831,14.5951,1416.288,17540.95
485.4297,200,291.4958,150,291.4958,120,1538.4213,117.6223,1420.799,17604.63
486.7416,200,292.5028,150,189.5247,120,1438.7691,14.7641,1424.005,17649.77
488.1549,200,293.5875,150,190.5746,120,1442.317,14.859,1427.458,17698.47
489.7224,200,294.7906,150,191.7386,120,1446.2516,14.9646,1431.287,17752.55
491.5218,200,296.1715,150,193.0741,120,1450.7674,15.0864,1435.681,17814.72
492.5765,200,296.981,150,193.8567,120,1453.4142,15.1582,1438.256,17851.21
494.2673,200,298.2785,150,195.1107,120,1457.6565,15.2735,1442.383,17909.78
495.9876,200,299.5987,150,196.3861,120,1461.9724,15.3914,1446.581,17969.46
500,200,300,150,193.537,120,1463.537,14.394,1449.143,18006.38
500,200,300,150,197.9143,120,1467.9143,15.5473,1452.367,18051.96
500,200,300,150,200,120,1470,14.712,1455.288,18080.5
