P1,P2,P3,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
22.239,24.6433,31.7343,78.6166,0.1671364,78.45,349747.95
22.4933,24.924,32.096,79.5133,0.168763,79.345,357765.1
22.556,24.994,32.186,79.736,0.1691667,79.567,359767.78
22.685,25.137,32.37,80.192,0.1699963,80.023,363898.92
23.456,25.991,33.47,82.917,0.1749528,81.234,389030.77
23.456,25.991,33.47,82.917,0.1749528,82.743,389030.77
23.833,26.408,34.008,84.249,0.1773817,83.098,401625.02
23.556,26.102,33.613,83.271,0.1756008,83.211,392372.76
24.298,26.923,34.671,85.892,0.1803813,85.713,417431.03
24.586,27.243,35.083,86.912,0.1822477,86.732,427405.64
24.656,27.32,35.182,87.158,0.182695,86.976,429811.54
24.722,27.394,35.276,87.392,0.183124,87.21,432125.19
25.043,27.75,35.735,88.528,0.1852063,88.345,443435.49
25.247,27.976,36.026,89.249,0.1865267,89.064,450675.95
25.58,28.344,36.501,90.425,0.1886848,90.238,462624.39
25.803,28.591,36.819,91.213,0.1901311,91.024,470711.33
26.284,29.125,37.506,92.915,0.1932617,92.723,488431.35
26.369,29.219,37.627,93.215,0.193815,93.023,491594.26
26.7461,29.6364,38.1647,94.5472,0.1962666,94.351,505718.08
27.1633,30.098,38.76,96.0213,0.198988,95.823,521607.17
27.4768,30.4459,39.207,97.1297,0.2010355,96.929,533707.31
27.521,30.494,39.27,97.285,0.2013245,97.085,535425.19
27.937,30.955,39.8641,98.7561,0.2040463,98.553,551726.08
28.138,31.178,40.151,99.467,0.2053641,99.263,559697.75
28.58,31.669,40.782,101.031,0.2082651,100.824,577425.26
28.897,32.02,41.234,102.151,0.2103456,101.942,590291.74
29.071,32.212,41.482,102.765,0.2114874,102.555,597406.63
29.465,32.649,42.044,104.158,0.2140792,103.945,613697.82
29.745,32.959,42.444,105.148,0.2159255,104.934,625422.65
29.8339,33.057,42.57,105.4609,0.2165084,105.246,629144.51
30.0573,33.305,42.889,106.2513,0.2179813,106.034,638593.75
30.398,33.682,43.376,107.456,0.2202322,107.237,653155.31
30.822,34.153,43.981,108.956,0.2230372,108.734,671504.83
31.074,34.432,44.341,109.847,0.224705,109.623,682522.1
31.187,34.557,44.502,110.246,0.2254522,110.021,687483.52
31.5934,35.0071,45.0816,111.6821,0.2281449,111.454,705496
31.6504,35.0703,45.162,111.8827,0.2285229,111.655,708041.13
31.8343,35.2741,45.4254,112.5338,0.2281449,112.304,716290.4
31.9664,35.4204,45.6138,113.0006,0.2281449,112.77,722243
32.3105,35.8016,46.1048,114.2169,0.2281449,113.984,737866.2
32.3309,35.8242,46.1339,114.289,0.2281449,114.056,738798.1
32.6268,36.1521,46.5562,115.3351,0.2281449,115.1,752375.8
32.7311,36.2676,46.705,115.7037,0.2281449,115.468,757191.3
33.1284,36.7079,47.272,117.1083,0.2281449,116.87,775678
33.2316,36.8222,47.4192,117.473,0.2281449,117.234,780514.2
33.5459,37.1705,47.8678,118.5842,0.2281449,118.343,795341.2
